X,Y,OBJECTID,SAMPLE_DATE,TIME,TIMEZONE,DEPTH,LOCATION,LATITUDE,LONGITUDE,NAME,COUNT_,HAB_ID
534828.0244,325207.322,396613,2015/02/12 00:00:00+00,14:41:00,GMT,0.6,"Englewood Beach; 17 mi W of ",26.92536,-82.63973,Karenia brevis,0,HABW150217-051
534828.0244,325207.322,396614,2015/02/12 00:00:00+00,14:42:00,GMT,19.2,"Englewood Beach; 17 mi W of ",26.92536,-82.63973,Karenia brevis,0,HABW150217-052
526502.984700002,319693.3726,396615,2015/02/12 00:00:00+00,15:01:00,GMT,0.6,"Knight Island; 25 mi W of ",26.8765,-82.72429,Karenia brevis,0,HABW150217-053
526502.984700002,319693.3726,396616,2015/02/12 00:00:00+00,15:02:00,GMT,23.5,"Knight Island; 25 mi W of ",26.8765,-82.72429,Karenia brevis,0,HABW150217-054
530837.872000001,310589.1893,396617,2015/02/12 00:00:00+00,15:25:00,GMT,0.6,"Gasparilla Island; 25 mi W of ",26.79409,-82.68156,Karenia brevis,0,HABW150217-055
530837.872000001,310589.1893,396618,2015/02/12 00:00:00+00,15:27:00,GMT,22.6,"Gasparilla Island; 25 mi W of ",26.79409,-82.68156,Karenia brevis,0,HABW150217-056
530837.872000001,310589.1893,396619,2015/02/12 00:00:00+00,15:26:00,GMT,0.6,"Gasparilla Island; 25 mi W of ",26.79409,-82.68156,Karenia brevis,0,HABW150217-057
539462.173999999,316169.2159,396620,2015/02/12 00:00:00+00,15:49:00,GMT,0.6,"Little Gasparilla Island; 18 mi W of ",26.84349,-82.59402,Karenia brevis,0,HABW150217-058
539462.173999999,316169.2159,396621,2015/02/12 00:00:00+00,15:50:00,GMT,17.7,"Little Gasparilla Island; 18 mi W of ",26.84349,-82.59402,Karenia brevis,0,HABW150217-059
542367.318,306569.9643,396622,2015/02/12 00:00:00+00,16:08:00,GMT,0.6,"Gasparilla Island; 19 mi W of ",26.75673,-82.56586,Karenia brevis,0,HABW150217-060
542367.318,306569.9643,396623,2015/02/12 00:00:00+00,16:09:00,GMT,18.9,"Gasparilla Island; 19 mi W of ",26.75673,-82.56586,Karenia brevis,0,HABW150217-061
533985.691799998,300994.1503,396624,2015/02/12 00:00:00+00,16:26:00,GMT,0.6,"Boca Grande Pass; 24 mi W of ",26.70736,-82.6509,Karenia brevis,0,HABW150217-062
533985.691799998,300994.1503,396625,2015/02/12 00:00:00+00,16:27:00,GMT,23.2,"Boca Grande Pass; 24 mi W of ",26.70736,-82.6509,Karenia brevis,0,HABW150217-063
538092.172499999,291697.45,396626,2015/02/12 00:00:00+00,16:44:00,GMT,0.6,"Cayo Costa; 24 mi W of ",26.62321,-82.61061,Karenia brevis,0,HABW150217-064
538092.172499999,291697.45,396627,2015/02/12 00:00:00+00,16:46:00,GMT,20.1,"Cayo Costa; 24 mi W of ",26.62321,-82.61061,Karenia brevis,0,HABW150217-065
546443.464000002,297374.2481,396628,2015/02/12 00:00:00+00,17:05:00,GMT,0.6,"Cayo Costa; 17 mi W of ",26.67347,-82.52591,Karenia brevis,0,HABW150217-066
546443.464000002,297374.2481,396629,2015/02/12 00:00:00+00,17:06:00,GMT,15.3,"Cayo Costa; 17 mi W of ",26.67347,-82.52591,Karenia brevis,0,HABW150217-067
547792.127799999,287118.9894,396630,2015/02/12 00:00:00+00,17:22:00,GMT,0.6,"North Captiva Island; 18 mi W of ",26.58095,-82.51358,Karenia brevis,0,HABW150217-068
547792.127799999,287118.9894,396631,2015/02/12 00:00:00+00,17:23:00,GMT,17.9,"North Captiva Island; 18 mi W of ",26.58095,-82.51358,Karenia brevis,0,HABW150217-069
538850.894299999,281660.2695,396632,2015/02/12 00:00:00+00,17:39:00,GMT,0.6,"Captiva Island; 25 mi W of ",26.53272,-82.60412,Karenia brevis,0,HABW150217-070
538850.894299999,281660.2695,396633,2015/02/12 00:00:00+00,17:41:00,GMT,21.7,"Captiva Island; 25 mi W of ",26.53272,-82.60412,Karenia brevis,0,HABW150217-071
543901.615600001,272998.5948,396634,2015/02/12 00:00:00+00,17:58:00,GMT,0.6,"Bowman's Beach; 24 mi W of ",26.45417,-82.55437,Karenia brevis,0,HABW150217-072
543901.615600001,272998.5948,396635,2015/02/12 00:00:00+00,17:59:00,GMT,21.6,"Bowman's Beach; 24 mi W of ",26.45417,-82.55437,Karenia brevis,0,HABW150217-073
553253.580899999,278736.7189,396636,2015/02/12 00:00:00+00,18:16:00,GMT,0.6,"Captiva Island; 17 mi W of ",26.50484,-82.45971,Karenia brevis,0,HABW150217-074
553253.580899999,278736.7189,396637,2015/02/12 00:00:00+00,18:17:00,GMT,18.6,"Captiva Island; 17 mi W of ",26.50484,-82.45971,Karenia brevis,0,HABW150217-075
562834.378199998,283744.7893,396638,2015/02/12 00:00:00+00,18:35:00,GMT,0.6,"Redfish Pass; 10 mi W of ",26.54884,-82.36276,Karenia brevis,0,HABW150217-076
562834.378199998,283744.7893,396639,2015/02/12 00:00:00+00,18:36:00,GMT,14.2,"Redfish Pass; 10 mi W of ",26.54884,-82.36276,Karenia brevis,0,HABW150217-077
557189.339299999,292061.8425,396640,2015/02/12 00:00:00+00,18:52:00,GMT,0.6,"Cayo Costa; 12 mi W of ",26.62442,-82.41844,Karenia brevis,0,HABW150217-078
557189.339299999,292061.8425,396641,2015/02/12 00:00:00+00,18:53:00,GMT,14.5,"Cayo Costa; 12 mi W of ",26.62442,-82.41844,Karenia brevis,0,HABW150217-079
555679.4769,301990.1348,396642,2015/02/12 00:00:00+00,19:09:00,GMT,0.6,"Boca Grande Pass; 10 mi W of ",26.71402,-82.43236,Karenia brevis,0,HABW150217-080
555679.4769,301990.1348,396643,2015/02/12 00:00:00+00,19:10:00,GMT,15.3,"Boca Grande Pass; 10 mi W of ",26.71402,-82.43236,Karenia brevis,0,HABW150217-081
551420.245299999,311096.3681,396644,2015/02/12 00:00:00+00,19:28:00,GMT,0.6,"Gasparilla Island; 12 mi W of ",26.79652,-82.47411,Karenia brevis,0,HABW150217-082
